feature1;feature2;correlation;strength
towers;wardsplaced;0.1554775797;low
opp_towers;wardsplaced;0.0326839759;low
firstmidtower;wardsplaced;0.0395884810;low
firsttothreetowers;wardsplaced;0.0495897678;low
turretplates;wardsplaced;-0.0204993919;low
opp_turretplates;wardsplaced;-0.0881019424;low
inhibitors;wardsplaced;0.3371074767;average
opp_inhibitors;wardsplaced;0.3019601238;average
damagetochampions;wardsplaced;0.6734424760;average
dpm;wardsplaced;0.6511173173;average
damageshare;wardsplaced;-0.4754929740;average
damagetakenperminute;wardsplaced;0.6897064153;average
damagemitigatedperminute;wardsplaced;0.6810999710;average
damagetotowers;wardsplaced;0.4868138174;average
kills;wpm;0.5451915927;average
deaths;wpm;0.6091728436;average
assists;wpm;0.6647661895;average
teamkills;wpm;0.0200644554;low
teamdeaths;wpm;-0.0218113353;low
doublekills;wpm;0.3568024130;average
triplekills;wpm;0.1946404012;low
quadrakills;wpm;0.0870675950;low
pentakills;wpm;0.0442487008;low
firstblood;wpm;0.2053428189;low
firstbloodkill;wpm;-0.0574265200;low
firstbloodassist;wpm;0.1071380107;low
firstbloodvictim;wpm;0.0135255352;low
team kpm;wpm;0.0040060445;low
ckpm;wpm;-0.0316296500;low
firstdragon;wpm;0.0355629807;low
dragons;wpm;0.1242646106;low
opp_dragons;wpm;-0.0007646396;low
elementaldrakes;wpm;0.1198708212;low
opp_elementaldrakes;wpm;-0.0042775519;low
infernals;wpm;0.0395668069;low
mountains;wpm;0.0446271252;low
clouds;wpm;0.0537683702;low
oceans;wpm;0.0296579791;low
chemtechs;wpm;0.0488082414;low
hextechs;wpm;0.0352391295;low
dragons (type unknown);wpm;0.1406931544;low
elders;wpm;0.0542331950;low
opp_elders;wpm;0.0424027875;low
firstherald;wpm;0.0247331296;low
heralds;wpm;0.0390140730;low
opp_heralds;wpm;-0.0387897204;low
firstbaron;wpm;0.0735609112;low
barons;wpm;0.3300367786;average
opp_barons;wpm;0.2991765725;low
firsttower;wpm;0.0496534383;low
towers;wpm;0.1062667991;low
opp_towers;wpm;-0.0613898620;low
firstmidtower;wpm;0.0556233017;low
firsttothreetowers;wpm;0.0675654367;low
turretplates;wpm;0.0362231517;low
opp_turretplates;wpm;-0.0620027925;low
inhibitors;wpm;0.3347443077;average
opp_inhibitors;wpm;0.2942979097;low
damagetochampions;wpm;0.6414755249;average
dpm;wpm;0.6663615192;average
damageshare;wpm;-0.5000088159;average
damagetakenperminute;wpm;0.7126914408;average
damagemitigatedperminute;wpm;0.6785662244;average
damagetotowers;wpm;0.4958898659;average
wardsplaced;wpm;0.9738542945;high
kills;wardskilled;0.6417767694;average
deaths;wardskilled;0.6276665315;average
assists;wardskilled;0.6914764224;average
teamkills;wardskilled;0.0517494315;low
teamdeaths;wardskilled;-0.0081528815;low
doublekills;wardskilled;0.4313843710;average
triplekills;wardskilled;0.2378464303;low
quadrakills;wardskilled;0.1052670418;low
pentakills;wardskilled;0.0479786392;low
firstblood;wardskilled;0.2162073316;low
firstbloodkill;wardskilled;0.0382542649;low
firstbloodassist;wardskilled;0.0772942472;low
firstbloodvictim;wardskilled;-0.0115496846;low
team kpm;wardskilled;-0.0402276526;low
ckpm;wardskilled;-0.1205572236;low
firstdragon;wardskilled;0.0251823864;low
dragons;wardskilled;0.3397891148;average
opp_dragons;wardskilled;0.1740141123;low
elementaldrakes;wardskilled;0.3192120127;average
opp_elementaldrakes;wardskilled;0.1594114384;low
infernals;wardskilled;0.0910308099;low
mountains;wardskilled;0.1050081297;low
clouds;wardskilled;0.1451837370;low
oceans;wardskilled;0.0935264041;low
chemtechs;wardskilled;0.1547355623;low
hextechs;wardskilled;0.0801094328;low
dragons (type unknown);wardskilled;0.3483325062;average
elders;wardskilled;0.2220678742;low
opp_elders;wardskilled;0.1865536756;low
firstherald;wardskilled;0.0211404692;low
heralds;wardskilled;0.0327326352;low
opp_heralds;wardskilled;-0.0359666805;low
firstbaron;wardskilled;0.1046114285;low
barons;wardskilled;0.4759528771;average
opp_barons;wardskilled;0.4255563326;average
firsttower;wardskilled;0.0592737390;low
towers;wardskilled;0.2220041211;low
opp_towers;wardskilled;0.0063880340;low
firstmidtower;wardskilled;0.0622754459;low
firsttothreetowers;wardskilled;0.0781229195;low
turretplates;wardskilled;-0.0750676584;low
opp_turretplates;wardskilled;-0.1651465225;low
inhibitors;wardskilled;0.4078779565;average
opp_inhibitors;wardskilled;0.3362175661;average
damagetochampions;wardskilled;0.7972157153;average
dpm;wardskilled;0.7526477519;average
damageshare;wardskilled;-0.1504250159;low
damagetakenperminute;wardskilled;0.7734642693;average
damagemitigatedperminute;wardskilled;0.7748021086;average
damagetotowers;wardskilled;0.5896581797;average
wardsplaced;wardskilled;0.7871126046;average
wpm;wardskilled;0.7474964921;average
kills;wcpm;0.6541662418;average
deaths;wcpm;0.6335544464;average
assists;wcpm;0.6972336635;average
teamkills;wcpm;0.0189422701;low
teamdeaths;wcpm;-0.0504213981;low
doublekills;wcpm;0.4440480899;average
triplekills;wcpm;0.2465194857;low
quadrakills;wcpm;0.1097112884;low
pentakills;wcpm;0.0528961681;low
firstblood;wcpm;0.2306758962;low
firstbloodkill;wcpm;0.0428724026;low
firstbloodassist;wcpm;0.0848086590;low
firstbloodvictim;wcpm;-0.0125175850;low
team kpm;wcpm;-0.0206790228;low
ckpm;wcpm;-0.0965174771;low
firstdragon;wcpm;0.0416684453;low
dragons;wcpm;0.2725331764;low
opp_dragons;wcpm;0.0287519546;low
elementaldrakes;wcpm;0.2629145797;low
opp_elementaldrakes;wcpm;0.0272844436;low
infernals;wcpm;0.0725587746;low
mountains;wcpm;0.0739427451;low
clouds;wcpm;0.1239354245;low
oceans;wcpm;0.0716199680;low
chemtechs;wcpm;0.1375016671;low
hextechs;wcpm;0.0721136634;low
dragons (type unknown);wcpm;0.3174806956;average
elders;wcpm;0.1199964974;low
opp_elders;wcpm;0.0765974361;low
firstherald;wcpm;0.0323342663;low
heralds;wcpm;0.0518095066;low
opp_heralds;wcpm;-0.0547601356;low
firstbaron;wcpm;0.1355495156;low
barons;wcpm;0.4517272609;average
opp_barons;wcpm;0.3959098399;average
firsttower;wcpm;0.0889222309;low
towers;wcpm;0.2061573479;low
opp_towers;wcpm;-0.1126170427;low
firstmidtower;wcpm;0.0938253957;low
firsttothreetowers;wcpm;0.1177485140;low
turretplates;wcpm;-0.0368907877;low
opp_turretplates;wcpm;-0.1773009035;low
inhibitors;wcpm;0.4105900333;average
opp_inhibitors;wcpm;0.3310691559;average
damagetochampions;wcpm;0.7703416598;average
dpm;wcpm;0.7773021069;average
damageshare;wcpm;-0.1725747168;low
damagetakenperminute;wcpm;0.8072193880;high
damagemitigatedperminute;wcpm;0.7810858952;average
damagetotowers;wcpm;0.6074642320;average
wardsplaced;wcpm;0.7752017195;average
wpm;wcpm;0.7817044130;average
wardskilled;wcpm;0.9731100976;high
kills;controlwardsbought;0.5978133455;average
deaths;controlwardsbought;0.6496602856;average
assists;controlwardsbought;0.7119227100;average
teamkills;controlwardsbought;0.0436565253;low
teamdeaths;controlwardsbought;-0.0027086966;low
doublekills;controlwardsbought;0.3859999102;average
triplekills;controlwardsbought;0.2041792920;low
quadrakills;controlwardsbought;0.0877770561;low
pentakills;controlwardsbought;0.0388999337;low
firstblood;controlwardsbought;0.2233110613;low
firstbloodkill;controlwardsbought;-0.0193491041;low
firstbloodassist;controlwardsbought;0.1298073992;low
firstbloodvictim;controlwardsbought;0.0085895439;low
team kpm;controlwardsbought;-0.0310317973;low
ckpm;controlwardsbought;-0.0960370615;low
firstdragon;controlwardsbought;0.0381814266;low
dragons;controlwardsbought;0.2892253740;low
opp_dragons;controlwardsbought;0.1684301845;low
elementaldrakes;controlwardsbought;0.2738348697;low
opp_elementaldrakes;controlwardsbought;0.1437800347;low
infernals;controlwardsbought;0.0845474186;low
mountains;controlwardsbought;0.0959491477;low
clouds;controlwardsbought;0.1123170251;low
oceans;controlwardsbought;0.0885330926;low
chemtechs;controlwardsbought;0.1069474590;low
hextechs;controlwardsbought;0.0868018545;low
dragons (type unknown);controlwardsbought;0.2876584984;low
elders;controlwardsbought;0.1854159169;low
opp_elders;controlwardsbought;0.1701893442;low
firstherald;controlwardsbought;0.0492210582;low
heralds;controlwardsbought;0.0686221956;low
opp_heralds;controlwardsbought;-0.0716563984;low
firstbaron;controlwardsbought;0.1004226093;low
barons;controlwardsbought;0.4488383004;average
opp_barons;controlwardsbought;0.4153375071;average
firsttower;controlwardsbought;0.0643875919;low
towers;controlwardsbought;0.1835449009;low
opp_towers;controlwardsbought;0.0275622973;low
firstmidtower;controlwardsbought;0.0759670319;low
firsttothreetowers;controlwardsbought;0.0841888606;low
turretplates;controlwardsbought;-0.0451497227;low
opp_turretplates;controlwardsbought;-0.1741005064;low
inhibitors;controlwardsbought;0.3693907623;average
opp_inhibitors;controlwardsbought;0.3276226865;average
damagetochampions;controlwardsbought;0.7424456585;average
dpm;controlwardsbought;0.7151976288;average
damageshare;controlwardsbought;-0.5489959471;average
damagetakenperminute;controlwardsbought;0.7832861254;average
damagemitigatedperminute;controlwardsbought;0.7839582512;average
damagetotowers;controlwardsbought;0.5352014737;average
wardsplaced;controlwardsbought;0.8589491746;high
wpm;controlwardsbought;0.8313281362;high
wardskilled;controlwardsbought;0.8764530929;high
wcpm;controlwardsbought;0.8611130629;high
kills;visionscore;0.6606136262;average
deaths;visionscore;0.6716102294;average
assists;visionscore;0.7638795729;average
teamkills;visionscore;0.0801953113;low
teamdeaths;visionscore;-0.0060680604;low
doublekills;visionscore;0.4360980698;average
triplekills;visionscore;0.2368910213;low
quadrakills;visionscore;0.1039001849;low
pentakills;visionscore;0.0473716327;low
firstblood;visionscore;0.2309854519;low
firstbloodkill;visionscore;-0.0241388384;low
firstbloodassist;visionscore;0.1319524639;low
firstbloodvictim;visionscore;0.0025782299;low
team kpm;visionscore;-0.0059481983;low
ckpm;visionscore;-0.0854707586;low
firstdragon;visionscore;0.0604082708;low
dragons;visionscore;0.4464942870;average
opp_dragons;visionscore;0.1460799415;low
elementaldrakes;visionscore;0.4218960190;average
opp_elementaldrakes;visionscore;0.1254456283;low
infernals;visionscore;0.1242730789;low
mountains;visionscore;0.1474903251;low
clouds;visionscore;0.1771220627;low
oceans;visionscore;0.1323830058;low
chemtechs;visionscore;0.1925314936;low
hextechs;visionscore;0.1114078911;low
dragons (type unknown);visionscore;0.4416301290;average
elders;visionscore;0.2692758685;low
opp_elders;visionscore;0.2208818003;low
firstherald;visionscore;0.0530214041;low
heralds;visionscore;0.0870152952;low
opp_heralds;visionscore;-0.0893234605;low
firstbaron;visionscore;0.1863551362;low
barons;visionscore;0.4709812824;average
opp_barons;visionscore;0.3958332959;average
firsttower;visionscore;0.1225172096;low
towers;visionscore;0.3454251641;average
opp_towers;visionscore;-0.0532168464;low
firstmidtower;visionscore;0.1356047513;low
firsttothreetowers;visionscore;0.1654109440;low
turretplates;visionscore;-0.0069503406;low
opp_turretplates;visionscore;-0.2275054011;low
inhibitors;visionscore;0.4270541817;average
opp_inhibitors;visionscore;0.3259526901;average
damagetochampions;visionscore;0.8113628612;high
dpm;visionscore;0.7762297839;average
damageshare;visionscore;-0.4983902429;average
damagetakenperminute;visionscore;0.8081150395;high
damagemitigatedperminute;visionscore;0.8067288776;high
damagetotowers;visionscore;0.6040088662;average
wardsplaced;visionscore;0.8921696771;high
wpm;visionscore;0.8583114076;high
wardskilled;visionscore;0.9369969004;high
wcpm;visionscore;0.9150633633;high
controlwardsbought;visionscore;0.9371035298;high
kills;vspm;0.6725604608;average
deaths;vspm;0.6744899400;average
assists;vspm;0.7691188551;average
teamkills;vspm;0.0483613005;low
teamdeaths;vspm;-0.0519436172;low
doublekills;vspm;0.4486067727;average
triplekills;vspm;0.2450300360;low
quadrakills;vspm;0.1079596153;low
pentakills;vspm;0.0520905626;low
firstblood;vspm;0.2461570283;low
firstbloodkill;vspm;-0.0256660763;low
firstbloodassist;vspm;0.1465490186;low
firstbloodvictim;vspm;0.0016283175;low
team kpm;vspm;0.0208103258;low
ckpm;vspm;-0.0539343311;low
firstdragon;vspm;0.1202338062;low
dragons;vspm;0.4534754285;average
opp_dragons;vspm;-0.1091057930;low
elementaldrakes;vspm;0.4415134323;average
opp_elementaldrakes;vspm;-0.1143592918;low
infernals;vspm;0.1268392459;low
mountains;vspm;0.1391332293;low
clouds;vspm;0.1850200465;low
oceans;vspm;0.1348460658;low
chemtechs;vspm;0.2085454084;low
hextechs;vspm;0.1324737995;low
dragons (type unknown);vspm;0.5041719688;average
elders;vspm;0.1602525406;low
opp_elders;vspm;0.0840581311;low
firstherald;vspm;0.1035773425;low
heralds;vspm;0.1708623132;low
opp_heralds;vspm;-0.1723355875;low
firstbaron;vspm;0.3131433966;average
barons;vspm;0.4435294886;average
opp_barons;vspm;0.3612811552;average
firsttower;vspm;0.2333712385;low
towers;vspm;0.4437005905;average
opp_towers;vspm;-0.3093780367;average
firstmidtower;vspm;0.2592420480;low
firsttothreetowers;vspm;0.3123104011;average
turretplates;vspm;0.1185042152;low
opp_turretplates;vspm;-0.3174556018;average
inhibitors;vspm;0.4291755828;average
opp_inhibitors;vspm;0.3173992839;average
damagetochampions;vspm;0.7800320775;average
dpm;vspm;0.8002670514;high
damageshare;vspm;-0.5545438759;average
damagetakenperminute;vspm;0.8408736104;high
damagemitigatedperminute;vspm;0.8101703480;high
damagetotowers;vspm;0.6211471326;average
wardsplaced;vspm;0.8742162747;high
wpm;vspm;0.8924235323;high
wardskilled;vspm;0.8993508517;high
wcpm;vspm;0.9317059241;high
controlwardsbought;vspm;0.9147306814;high
visionscore;vspm;0.9703587268;high
kills;totalgold;0.8289935261;high
deaths;totalgold;0.7091002100;average
assists;totalgold;0.8083146495;high
teamkills;totalgold;0.1309227507;low
teamdeaths;totalgold;-0.0163543234;low
doublekills;totalgold;0.5833450836;average
triplekills;totalgold;0.3293135014;average
quadrakills;totalgold;0.1514893627;low
pentakills;totalgold;0.0698377623;low
firstblood;totalgold;0.2349719452;low
firstbloodkill;totalgold;0.1211150491;low
firstbloodassist;totalgold;-0.0615442220;low
firstbloodvictim;totalgold;-0.0642674824;low
team kpm;totalgold;0.0690084201;low
ckpm;totalgold;-0.0124548845;low
firstdragon;totalgold;0.1156211733;low
dragons;totalgold;0.5883834127;average
opp_dragons;totalgold;-0.0127084024;low
elementaldrakes;totalgold;0.5641201137;average
opp_elementaldrakes;totalgold;-0.0356084830;low
infernals;totalgold;0.1959836476;low
mountains;totalgold;0.2050485571;low
clouds;totalgold;0.2149845291;low
oceans;totalgold;0.1855168900;low
chemtechs;totalgold;0.2048364723;low
hextechs;totalgold;0.1785226799;low
dragons (type unknown);totalgold;0.5696036707;average
elders;totalgold;0.3053329150;average
opp_elders;totalgold;0.1953795923;low
firstherald;totalgold;0.1125884575;low
heralds;totalgold;0.1794576958;low
opp_heralds;totalgold;-0.1798523344;low
firstbaron;totalgold;0.3815844038;average
barons;totalgold;0.5172794263;average
opp_barons;totalgold;0.3950377662;average
firsttower;totalgold;0.2272823253;low
towers;totalgold;0.6091618611;average
opp_towers;totalgold;-0.2596338974;low
firstmidtower;totalgold;0.2518964846;low
firsttothreetowers;totalgold;0.3130961259;average
turretplates;totalgold;0.1530053928;low
opp_turretplates;totalgold;-0.2822933177;low
inhibitors;totalgold;0.5236280423;average
opp_inhibitors;totalgold;0.3672235262;average
damagetochampions;totalgold;0.9414881178;high
dpm;totalgold;0.9349695602;high
damageshare;totalgold;0.6026509002;average
damagetakenperminute;totalgold;0.9055242604;high
damagemitigatedperminute;totalgold;0.8803808981;high
damagetotowers;totalgold;0.7652218050;average
wardsplaced;totalgold;0.7635229540;average
wpm;totalgold;0.7518321673;average
wardskilled;totalgold;0.8762858377;high
wcpm;totalgold;0.8747585659;high
controlwardsbought;totalgold;0.8434072139;high
visionscore;totalgold;0.8990909167;high
vspm;totalgold;0.8930795983;high
kills;earnedgold;0.8644597390;high
deaths;earnedgold;0.6612946249;average
assists;earnedgold;0.8178441566;high
teamkills;earnedgold;0.1782503945;low
teamdeaths;earnedgold;-0.0459057286;low
doublekills;earnedgold;0.6256753153;average
triplekills;earnedgold;0.3597385522;average
quadrakills;earnedgold;0.1674371217;low
pentakills;earnedgold;0.0778757123;low
firstblood;earnedgold;0.2405169945;low
firstbloodkill;earnedgold;0.1346651049;low
firstbloodassist;earnedgold;-0.0709941389;low
firstbloodvictim;earnedgold;-0.0715152541;low
team kpm;earnedgold;0.1176035030;low
ckpm;earnedgold;0.0026031324;low
firstdragon;earnedgold;0.1520355419;low
dragons;earnedgold;0.6426348246;average
opp_dragons;earnedgold;-0.1490127941;low
elementaldrakes;earnedgold;0.6211817036;average
opp_elementaldrakes;earnedgold;-0.1696604609;low
infernals;earnedgold;0.2193962354;low
mountains;earnedgold;0.2214606535;low
clouds;earnedgold;0.2347456496;low
oceans;earnedgold;0.2033637425;low
chemtechs;earnedgold;0.2196358284;low
hextechs;earnedgold;0.2065089748;low
dragons (type unknown);earnedgold;0.6300302498;average
elders;earnedgold;0.2920590820;low
opp_elders;earnedgold;0.1470672904;low
firstherald;earnedgold;0.1483287432;low
heralds;earnedgold;0.2368224538;low
opp_heralds;earnedgold;-0.2367220486;low
firstbaron;earnedgold;0.4875184661;average
barons;earnedgold;0.5394996809;average
opp_barons;earnedgold;0.3531863796;average
firsttower;earnedgold;0.2993488917;low
towers;earnedgold;0.7307195511;average
opp_towers;earnedgold;-0.4134984803;average
firstmidtower;earnedgold;0.3320863493;average
firsttothreetowers;earnedgold;0.4126573774;average
turretplates;earnedgold;0.2465011674;low
opp_turretplates;earnedgold;-0.3275127719;average
inhibitors;earnedgold;0.5639199235;average
opp_inhibitors;earnedgold;0.3255376755;average
damagetochampions;earnedgold;0.9474760262;high
dpm;earnedgold;0.9420143692;high
damageshare;earnedgold;0.6703785662;average
damagetakenperminute;earnedgold;0.8789237946;high
damagemitigatedperminute;earnedgold;0.8571284663;high
damagetotowers;earnedgold;0.8042968135;high
wardsplaced;earnedgold;0.7272523795;average
wpm;earnedgold;0.7152208487;average
wardskilled;earnedgold;0.8544213087;high
wcpm;earnedgold;0.8522478029;high
controlwardsbought;earnedgold;0.8074610305;high
visionscore;earnedgold;0.8677334990;high
vspm;earnedgold;0.8613177651;high
totalgold;earnedgold;0.9943983671;high
kills;earned gpm;0.8641034748;high
deaths;earned gpm;0.6370755258;average
assists;earned gpm;0.8047724549;high
teamkills;earned gpm;0.1536000914;low
teamdeaths;earned gpm;-0.1000357154;low
doublekills;earned gpm;0.6323346375;average
triplekills;earned gpm;0.3649296025;average
quadrakills;earned gpm;0.1702978317;low
pentakills;earned gpm;0.0823633815;low
firstblood;earned gpm;0.2522954904;low
firstbloodkill;earned gpm;0.1577089951;low
firstbloodassist;earned gpm;-0.0768331134;low
firstbloodvictim;earned gpm;-0.0848340647;low
team kpm;earned gpm;0.1618405853;low
ckpm;earned gpm;0.0462677207;low
firstdragon;earned gpm;0.2434021762;low
dragons;earned gpm;0.5751791265;average
opp_dragons;earned gpm;-0.5886421340;average
elementaldrakes;earned gpm;0.5746718851;average
opp_elementaldrakes;earned gpm;-0.5937813328;average
infernals;earned gpm;0.2144270003;low
mountains;earned gpm;0.1905436898;low
clouds;earned gpm;0.2074840150;low
oceans;earned gpm;0.1877888660;low
chemtechs;earned gpm;0.1828067361;low
hextechs;earned gpm;0.2256023546;low
dragons (type unknown);earned gpm;0.6048684821;average
elders;earned gpm;0.0953556957;low
opp_elders;earned gpm;-0.0757552421;low
firstherald;earned gpm;0.2311854487;low
heralds;earned gpm;0.3728252094;average
opp_heralds;earned gpm;-0.3704835906;average
firstbaron;earned gpm;0.6770511277;average
barons;earned gpm;0.4983341677;average
opp_barons;earned gpm;0.3001306681;average
firsttower;earned gpm;0.4652342248;average
towers;earned gpm;0.8760865395;high
opp_towers;earned gpm;-0.8161637037;high
firstmidtower;earned gpm;0.5141399063;average
firsttothreetowers;earned gpm;0.6284495534;average
turretplates;earned gpm;0.5241887480;average
opp_turretplates;earned gpm;-0.3975121460;average
inhibitors;earned gpm;0.5578651103;average
opp_inhibitors;earned gpm;0.2983545839;low
damagetochampions;earned gpm;0.8888153726;high
dpm;earned gpm;0.9464307134;high
damageshare;earned gpm;0.7273158368;average
damagetakenperminute;earned gpm;0.8870212108;high
damagemitigatedperminute;earned gpm;0.8332766718;high
damagetotowers;earned gpm;0.8097815751;high
wardsplaced;earned gpm;0.6831519553;average
wpm;earned gpm;0.7206312224;average
wardskilled;earned gpm;0.7846031090;average
wcpm;earned gpm;0.8356772146;high
controlwardsbought;earned gpm;0.7561066972;average
visionscore;earned gpm;0.8071663746;high
vspm;earned gpm;0.8581991324;high
totalgold;earned gpm;0.9599674877;high
earnedgold;earned gpm;0.9668996100;high
kills;earnedgoldshare;0.5852980555;average
deaths;earnedgoldshare;-0.1577677086;low
assists;earnedgoldshare;-0.3482379933;average
teamkills;earnedgoldshare;-0.0000000092;low
teamdeaths;earnedgoldshare;-0.0000000122;low
doublekills;earnedgoldshare;0.4258284556;average
triplekills;earnedgoldshare;0.2629302168;low
quadrakills;earnedgoldshare;0.1390652584;low
pentakills;earnedgoldshare;0.0708903729;low
firstblood;earnedgoldshare;-0.0230603995;low
firstbloodkill;earnedgoldshare;0.1234634938;low
firstbloodassist;earnedgoldshare;-0.1351879713;low
firstbloodvictim;earnedgoldshare;-0.0502138286;low
team kpm;earnedgoldshare;-0.0000000086;low
ckpm;earnedgoldshare;-0.0000000152;low
barons;earnedgoldshare;-0.0161236532;low
opp_barons;earnedgoldshare;-0.0373114837;low
inhibitors;earnedgoldshare;0.2217841271;low
opp_inhibitors;earnedgoldshare;0.1827131755;low
damagetochampions;earnedgoldshare;0.6430379607;average
dpm;earnedgoldshare;0.7116316319;average
damageshare;earnedgoldshare;0.8213192507;high
damagetakenperminute;earnedgoldshare;0.0499391300;low
damagemitigatedperminute;earnedgoldshare;-0.0906804841;low
damagetotowers;earnedgoldshare;0.5368167966;average
wardsplaced;earnedgoldshare;-0.5884828660;average
wpm;earnedgoldshare;-0.6207032219;average
wardskilled;earnedgoldshare;-0.1168421481;low
wcpm;earnedgoldshare;-0.1333344931;low
controlwardsbought;earnedgoldshare;-0.6091847527;average
visionscore;earnedgoldshare;-0.5829314571;average
vspm;earnedgoldshare;-0.6484725226;average
totalgold;earnedgoldshare;0.7186319083;average
earnedgold;earnedgoldshare;0.7993885214;average
earned gpm;earnedgoldshare;0.8722072645;high
kills;goldspent;0.8102126871;high
deaths;goldspent;0.7343653409;average
assists;goldspent;0.7892409041;average
teamkills;goldspent;0.1089381986;low
teamdeaths;goldspent;0.0148014217;low
doublekills;goldspent;0.5613575697;average
triplekills;goldspent;0.3125381457;average
quadrakills;goldspent;0.1429507938;low
pentakills;goldspent;0.0644591828;low
firstblood;goldspent;0.2272533810;low
firstbloodkill;goldspent;0.1099792550;low
firstbloodassist;goldspent;-0.0746007671;low
firstbloodvictim;goldspent;-0.0541056669;low
team kpm;goldspent;0.0425208382;low
ckpm;goldspent;-0.0119623630;low
firstdragon;goldspent;0.0701698571;low
dragons;goldspent;0.4915438808;average
opp_dragons;goldspent;0.1205208960;low
elementaldrakes;goldspent;0.4649544358;average
opp_elementaldrakes;goldspent;0.0962158359;low
infernals;goldspent;0.1607776201;low
mountains;goldspent;0.1708203736;low
clouds;goldspent;0.1853895314;low
oceans;goldspent;0.1437657966;low
chemtechs;goldspent;0.1737163065;low
hextechs;goldspent;0.1419487855;low
dragons (type unknown);goldspent;0.4785735542;average
elders;goldspent;0.2921521966;low
opp_elders;goldspent;0.2384545103;low
firstherald;goldspent;0.0851394518;low
heralds;goldspent;0.1321754674;low
opp_heralds;goldspent;-0.1325027793;low
firstbaron;goldspent;0.2678293172;low
barons;goldspent;0.4983888283;average
opp_barons;goldspent;0.4192455137;average
firsttower;goldspent;0.1597932878;low
towers;goldspent;0.4621537201;average
opp_towers;goldspent;-0.0906290644;low
firstmidtower;goldspent;0.1727074292;low
firsttothreetowers;goldspent;0.2119196225;low
turretplates;goldspent;0.0891473095;low
opp_turretplates;goldspent;-0.2251584533;low
inhibitors;goldspent;0.4964192860;average
opp_inhibitors;goldspent;0.3978895376;average
damagetochampions;goldspent;0.9400713773;high
dpm;goldspent;0.9286965481;high
damageshare;goldspent;0.5960304441;average
damagetakenperminute;goldspent;0.9113241123;high
damagemitigatedperminute;goldspent;0.8841027925;high
damagetotowers;goldspent;0.7406971284;average
wardsplaced;goldspent;0.7650400689;average
wpm;goldspent;0.7499089364;average
wardskilled;goldspent;0.8771838784;high
wcpm;goldspent;0.8718106022;high
controlwardsbought;goldspent;0.8467897905;high
visionscore;goldspent;0.8991823758;high
vspm;goldspent;0.8889187181;high
totalgold;goldspent;0.9970564575;high
earnedgold;goldspent;0.9880795529;high
earned gpm;goldspent;0.9486065145;high
earnedgoldshare;goldspent;0.7100536656;average
kills;gspd;0.6711748659;average
deaths;gspd;-0.6700993781;average
assists;gspd;0.6262285709;average
teamkills;gspd;0.6711748659;average
teamdeaths;gspd;-0.6700993781;average
doublekills;gspd;0.5618868568;average
triplekills;gspd;0.3336256811;average
quadrakills;gspd;0.1554905395;low
pentakills;gspd;0.0848744517;low
firstblood;gspd;0.3013374538;average
team kpm;gspd;0.7231050261;average
ckpm;gspd;0.0000000000;low
firstdragon;gspd;0.2324156987;low
dragons;gspd;0.5613651793;average
opp_dragons;gspd;-0.5613651793;average
elementaldrakes;gspd;0.5626759899;average
opp_elementaldrakes;gspd;-0.5626759899;average
infernals;gspd;0.2044334101;low
mountains;gspd;0.1927969846;low
clouds;gspd;0.2012853799;low
oceans;gspd;0.1867790309;low
chemtechs;gspd;0.1838815334;low
hextechs;gspd;0.2139649364;low
dragons (type unknown);gspd;0.6016810918;average
elders;gspd;0.0648447525;low
opp_elders;gspd;-0.0648447525;low
firstherald;gspd;0.2668360434;low
heralds;gspd;0.4186461632;average
opp_heralds;gspd;-0.4186461632;average
firstbaron;gspd;0.6858892117;average
barons;gspd;0.5871833473;average
opp_barons;gspd;-0.5871833473;average
firsttower;gspd;0.5016177914;average
towers;gspd;0.8380191237;high
opp_towers;gspd;-0.8380191237;high
firstmidtower;gspd;0.5434488365;average
firsttothreetowers;gspd;0.6557367587;average
turretplates;gspd;0.5102142719;average
opp_turretplates;gspd;-0.5102142719;average
inhibitors;gspd;0.6493507195;average
opp_inhibitors;gspd;-0.6493507195;average
damagetochampions;gspd;0.2898166962;low
dpm;gspd;0.4679546189;average
damagetakenperminute;gspd;-0.2609161235;low
damagemitigatedperminute;gspd;0.0152069387;low
damagetotowers;gspd;0.7465031850;average
wardsplaced;gspd;0.0640647843;low
wpm;gspd;0.0901484350;low
wardskilled;gspd;0.1058250529;low
wcpm;gspd;0.1613982483;low
controlwardsbought;gspd;0.0934119097;low
visionscore;gspd;0.1966456287;low
vspm;gspd;0.3846953272;average
totalgold;gspd;0.4336163948;average
earnedgold;gspd;0.5710860553;average
earned gpm;gspd;0.8801240451;high
goldspent;gspd;0.3226671841;average
kills;gpr;0.6407154514;average
deaths;gpr;-0.6395935422;average
assists;gpr;0.5751359803;average
teamkills;gpr;0.6407154514;average
teamdeaths;gpr;-0.6395935422;average
doublekills;gpr;0.5139149192;average
triplekills;gpr;0.2978731402;low
quadrakills;gpr;0.1343530821;low
pentakills;gpr;0.0691688287;low
firstblood;gpr;0.4225504705;average
team kpm;gpr;0.6923260485;average
ckpm;gpr;0.0000000000;low
firstdragon;gpr;0.2422284619;low
dragons;gpr;0.5544749027;average
opp_dragons;gpr;-0.5544749027;average
elementaldrakes;gpr;0.5642139772;average
opp_elementaldrakes;gpr;-0.5642139772;average
infernals;gpr;0.1984658641;low
mountains;gpr;0.1926838364;low
