league;split;criterion;max_depth;min_samples_split;testAccuracy2024
LEC;Summer;entropy;30;10;74.5
LEC;Summer;entropy;30;15;72.0
LEC;Winter;gini;5;2;72.5
LEC;Winter;gini;5;10;72.5
LEC;Winter;gini;5;15;72.0
LEC;Winter;gini;10;2;72.0
LEC;Winter;gini;10;10;71.5
LEC;Winter;gini;10;15;72.5
LEC;Winter;gini;20;2;70.0
LEC;Winter;gini;20;10;71.5
LEC;Winter;gini;20;15;72.5
LEC;Winter;gini;30;2;70.0
LEC;Winter;gini;30;10;71.5
LEC;Winter;gini;30;15;72.5
LEC;Winter;entropy;5;2;72.0
LEC;Winter;entropy;5;10;73.0
LEC;Winter;entropy;5;15;73.5
LEC;Winter;entropy;10;2;70.5
LEC;Winter;entropy;10;10;73.5
LEC;Winter;entropy;10;15;72.5
LEC;Winter;entropy;20;2;72.0
LEC;Winter;entropy;20;10;73.5
LEC;Winter;entropy;20;15;72.5
LEC;Winter;entropy;30;2;72.0
LEC;Winter;entropy;30;10;73.5
LEC;Winter;entropy;30;15;72.5
